SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
40,6,0,0,0,0,0,A,California,California,37253956,37254518,37327690,37672654,38019006,38347383,38701278,39032444,39296476,39536653
162,6,0,296,0,0,0,A,Adelanto city,California,31765,31760,31667,31891,31139,31273,32602,33052,33343,34066
162,6,0,394,0,0,0,A,Agoura Hills city,California,20330,20330,20335,20492,20585,20643,20713,20819,20755,20692
162,6,0,562,0,0,0,A,Alameda city,California,73812,73812,73968,74750,75775,76640,77688,78583,79199,79177
162,6,0,674,0,0,0,A,Albany city,California,18539,18541,18570,18763,19020,19255,19509,19722,19767,20143
162,6,0,884,0,0,0,A,Alhambra city,California,83089,83117,83180,83685,84309,84570,85074,85173,85615,85396
162,6,0,947,0,0,0,A,Aliso Viejo city,California,47823,48098,48237,48951,49570,50096,50120,50096,51490,51671
162,6,0,1444,0,0,0,A,Alturas city,California,2827,2827,2832,2771,2718,2653,2638,2620,2580,2540
162,6,0,1514,0,0,0,A,Amador City city,California,185,182,182,182,181,180,182,186,188,190
162,6,0,1640,0,0,0,A,American Canyon city,California,19454,19542,19620,19858,20054,20282,20368,20422,20402,20247
162,6,0,2000,0,0,0,A,Anaheim city,California,336265,336440,337177,340511,343102,345019,345959,349732,351661,352497
162,6,0,2042,0,0,0,A,Anderson city,California,9932,9932,9940,9991,10029,10092,10162,10156,10173,10370
162,6,0,2112,0,0,0,A,Angels city,California,3836,3810,3801,3770,3743,3729,3730,3750,3775,3807
162,6,0,2252,0,0,0,A,Antioch city,California,102372,102745,103106,104266,105714,107538,109278,110464,111224,111674
162,6,0,2364,0,0,0,A,Apple Valley town,California,69135,69139,69313,70069,70480,70832,71298,71921,72426,73077
162,6,0,2462,0,0,0,A,Arcadia city,California,56364,56359,56392,56713,56985,57433,57768,58121,58570,58799
162,6,0,2476,0,0,0,A,Arcata city,California,17231,17231,17500,17728,17697,17687,17703,17783,17943,18000
162,6,0,2868,0,0,0,A,Arroyo Grande city,California,17252,17279,17298,17367,17542,17720,17884,18053,18088,18123
162,6,0,2896,0,0,0,A,Artesia city,California,16522,16522,16523,16589,16667,16724,16808,16895,16895,16904
162,6,0,2924,0,0,0,A,Arvin city,California,19304,19304,19349,19697,20099,20310,20564,20828,21104,21270
162,6,0,3064,0,0,0,A,Atascadero city,California,28310,28304,28412,28591,28735,29016,29359,29940,30228,30418
162,6,0,3092,0,0,0,A,Atherton town,California,6914,6920,6918,6957,7037,7103,7146,7180,7252,7238
162,6,0,3162,0,0,0,A,Atwater city,California,28168,28172,28249,28519,28637,28746,28912,29119,29291,29397
